match_id,team_id,goal_number,player1_id,player2_id,goal_type
41101,9826,1,26777,35345,header
41101,9825,4,46539,50047,header
43485,8191,1,37240,24372,shot
43485,8455,7,178812,30613,tap_in
43485,8455,10,31306,30613,tap_in
55986,8668,7,32705,36012,shot
32002,8650,1,246575,156008,shot
32002,8466,4,157838,94267,shot
32002,8650,7,51553,246575,tap_in
54799,10003,1,144996,157729,distance
54799,10003,7,157729,38831,volley
51911,8456,1,37459,15403,shot
36752,8667,1,163200,21864,header
55457,8659,7,239807,25075,tap_in
55457,8472,10,35443,180330,shot
59399,8586,4,361315,194165,shot
39034,9825,1,50047,425255,header
39034,9825,7,50047,78513,shot
46416,10252,1,184360,29581,shot
46416,8586,4,110189,174850,volley
38731,8455,1,128864,30613,shot
38731,10172,4,187266,109638,backheel
49338,8472,1,32627,180330,header
49338,8472,7,118929,114218,shot
49338,8472,10,32627,113908,shot
53622,8456,1,37412,31291,shot
54195,10194,4,72735,33881,header
54195,8654,7,195927,30892,header
54195,8654,10,30892,195927,shot
34256,8191,1,107280,191869,header
40064,8650,1,307021,246575,deflected
40064,8455,4,23783,115067,shot
31189,10260,1,41468,46509,distance
38987,10172,1,187266,109298,shot
38987,8456,4,37412,156551,shot
38987,8456,10,37412,36615,shot
31646,8466,1,23293,41280,shot
31646,8466,4,23293,166676,shot
43227,9825,1,50047,113836,shot
43227,10003,7,26344,52563,header
54375,10194,1,96643,109621,distance
54375,10194,4,33881,72735,shot
54375,8586,7,110189,46353,volley
39329,10261,1,479020,104482,backheel
39329,10261,4,30929,104482,header
42938,10260,4,30829,46509,shot
42938,9825,7,46469,24011,shot
47238,10252,1,23264,161414,shot
47238,8466,4,157838,46010,shot
30732,8455,1,19243,128864,shot
30732,8455,4,107417,30613,shot
35724,8650,1,39225,37234,shot
35724,9826,7,22929,160194,shot
53494,8654,4,18506,41232,deflected
53494,8668,7,24006,33639,shot
33413,8586,7,157723,30895,shot
31951,10003,1,143365,23305,shot
31951,8456,4,92666,33991,tap_in
31951,8456,7,36615,40196,shot
41707,10261,1,94550,264840,shot
33007,8191,4,214426,32148,shot
33007,10194,7,33881,96643,header
34815,10252,1,30630,184360,shot
54452,10260,4,30829,30843,distance
54452,10260,7,30843,164676,distance
53609,8197,1,30930,26554,distance
50807,8456,1,36615,37412,distance
50807,8456,4,30631,38807,shot
50807,8456,7,31291,37412,shot
44295,10003,1,143365,157729,shot
55140,8586,7,37506,30895,shot
48314,9825,1,113836,37436,header
36494,8654,1,155782,148302,shot
57550,9825,1,50047,75489,shot
59653,8191,1,32304,214426,distance
59653,10261,4,46700,104482,shot
46771,8650,10,156008,246575,shot
30497,10260,1,39618,164676,header
45071,10003,1,144996,143365,shot
45071,10003,4,38831,23305,distance
45600,8659,1,169162,32734,header
45600,8654,7,109897,30892,header
51872,8455,1,107417,30822,shot
51872,8455,4,30822,128864,shot
51872,8455,7,39987,72541,shot
52809,8668,1,181276,26151,shot
52809,8667,4,23839,8922,shot
53586,8456,4,37412,92666,shot
53586,8456,7,92666,37412,shot
53586,8456,10,30509,26181,lob
53586,8456,13,37412,38807,shot
46493,10252,4,161414,182223,header
46493,10252,7,32870,148315,shot
52803,10261,4,46700,94550,shot
52803,8455,7,30822,30613,header
40927,10172,1,109638,187266,deflected
40927,10172,4,187266,109298,shot
31339,10260,7,30843,30829,volley
40523,10194,1,30830,72735,tap_in
40523,10194,4,96643,33881,volley
40523,9825,16,75489,50047,volley
52337,10003,1,143365,52563,shot
52337,8654,4,47382,214685,header
52337,8654,7,47382,30892,header
