player_id,finishing,dribbling,acceleration,sprint_speed,positioning,shot_power,short_passing,long_passing,vision,dribbling,crossing,ball_control,marking,standing_tackle,sliding_tackle,interceptions,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,date,FIFA_rating,Position
30893,95.0,93.0,91.0,93.0,93.0,94.0,81.0,72.0,81.0,93.0,82.0,91.0,22.0,31.0,23.0,29.0,7.0,11.0,15.0,14.0,11.0,2015-10-16,93,Attacker
37412,90.0,89.0,92.0,86.0,90.0,85.0,78.0,63.0,83.0,89.0,70.0,89.0,13.0,20.0,12.0,24.0,13.0,15.0,6.0,11.0,14.0,2015-10-16,88,Attacker
37459,72.0,87.0,79.0,68.0,83.0,71.0,92.0,85.0,93.0,87.0,85.0,91.0,23.0,30.0,29.0,41.0,1.0,1.0,1.0,1.0,1.0,2015-09-21,88,Midfielder
38817,88.0,87.0,90.0,85.0,91.0,90.0,79.0,61.0,80.0,87.0,73.0,90.0,39.0,51.0,51.0,34.0,4.0,2.0,3.0,2.0,4.0,2015-09-21,88,Attacker
107417,83.0,94.0,93.0,87.0,86.0,79.0,85.0,82.0,86.0,94.0,80.0,90.0,25.0,27.0,22.0,41.0,11.0,12.0,6.0,8.0,8.0,2015-09-25,88,Attacker
30613,78.0,81.0,65.0,62.0,81.0,77.0,93.0,92.0,93.0,81.0,86.0,87.0,62.0,64.0,62.0,61.0,6.0,10.0,8.0,15.0,15.0,2015-10-02,87,Midfielder
31921,81.0,87.0,93.0,95.0,83.0,87.0,84.0,80.0,77.0,87.0,84.0,85.0,60.0,65.0,62.0,59.0,15.0,15.0,11.0,5.0,6.0,2015-12-03,87,Attacker
35606,36.0,39.0,29.0,33.0,43.0,71.0,71.0,58.0,58.0,39.0,38.0,65.0,88.0,88.0,86.0,88.0,12.0,13.0,5.0,12.0,8.0,2015-10-30,87,Defender
40636,90.0,88.0,88.0,78.0,91.0,88.0,82.0,64.0,84.0,88.0,77.0,91.0,30.0,45.0,38.0,41.0,27.0,25.0,31.0,33.0,37.0,2015-10-16,87,Attacker
31306,57.0,58.0,63.0,66.0,61.0,73.0,68.0,56.0,57.0,58.0,72.0,66.0,87.0,89.0,88.0,85.0,15.0,9.0,13.0,11.0,13.0,2015-10-16,87,Defender
36183,34.0,67.0,74.0,83.0,47.0,79.0,75.0,81.0,74.0,67.0,69.0,73.0,84.0,90.0,91.0,84.0,7.0,12.0,15.0,6.0,5.0,2015-11-26,87,Defender
38818,42.0,58.0,69.0,67.0,51.0,76.0,79.0,75.0,68.0,58.0,63.0,82.0,84.0,87.0,85.0,92.0,6.0,10.0,8.0,5.0,5.0,2015-11-06,87,Defender
174321,53.0,43.0,74.0,76.0,49.0,69.0,64.0,66.0,45.0,43.0,52.0,60.0,87.0,86.0,88.0,86.0,12.0,5.0,8.0,11.0,12.0,2015-09-21,86,Defender
169200,82.0,85.0,76.0,78.0,83.0,84.0,88.0,82.0,88.0,85.0,90.0,86.0,30.0,39.0,40.0,52.0,15.0,13.0,5.0,10.0,13.0,2015-09-21,86,Midfielder
30509,49.0,74.0,72.0,73.0,71.0,66.0,72.0,64.0,66.0,74.0,75.0,77.0,86.0,87.0,86.0,86.0,10.0,14.0,15.0,7.0,5.0,2015-09-21,86,Defender
23783,56.0,58.0,69.0,77.0,45.0,63.0,65.0,61.0,56.0,58.0,28.0,64.0,84.0,87.0,88.0,86.0,5.0,12.0,9.0,5.0,12.0,2015-12-10,86,Defender
